
Å‘å‘Š‘Î•ÏˆÊ
‰ðÍ¹°½,PSV40,,PSV81,
‘w,‰Á—Í•ûŒü,’¼Œð•ûŒü,‰Á—Í•ûŒü,’¼Œð•ûŒü
,mm,mm,mm,mm
F19,-93.156,0.000,-194.514,0.000
F18,-89.623,0.000,-186.677,0.000
F17,-85.113,0.000,-176.678,0.000
F16,-79.756,0.000,-164.810,0.000
F15,-73.823,0.000,-151.635,0.000
F14,-67.744,0.000,-138.314,0.000
F13,-62.266,0.000,-127.568,0.000
F12,-58.134,0.000,-121.571,0.000
F11,-54.975,0.000,-117.084,0.000
F10,-51.844,0.000,-111.851,0.000
F9,-48.398,0.000,-105.165,0.000
F8,-44.395,0.000,-96.775,0.000
F7,39.734,0.000,-86.675,0.000
F6,34.361,0.000,-74.993,0.000
F5,28.254,0.000,-61.846,0.000
F4,21.597,0.000,-47.308,0.000
F3,14.460,0.000,-31.518,0.000
F2,7.152,0.000,-15.557,0.000
F1,0.000,0.000,0.000,0.000
Å‘å‘Š‘Î‘¬“x
‰ðÍ¹°½,PSV40,,PSV81,
‘w,‰Á—Í•ûŒü,’¼Œð•ûŒü,‰Á—Í•ûŒü,’¼Œð•ûŒü
,mm/s,mm/s,mm/s,mm/s
F19,-612.74,0.00,1282.15,0.00
F18,573.79,0.00,1201.90,0.00
F17,520.54,0.00,1088.38,0.00
F16,452.93,0.00,946.29,0.00
F15,379.56,0.00,780.97,0.00
F14,350.60,0.00,712.94,0.00
F13,376.82,0.00,810.94,0.00
F12,401.98,0.00,875.31,0.00
F11,417.26,0.00,918.45,0.00
F10,423.88,0.00,940.08,0.00
F9,420.29,0.00,929.42,0.00
F8,405.63,0.00,887.27,0.00
F7,375.86,0.00,814.73,0.00
F6,332.54,0.00,717.38,0.00
F5,278.11,0.00,603.71,0.00
F4,224.60,0.00,492.27,0.00
F3,158.86,0.00,348.48,0.00
F2,81.76,0.00,183.23,0.00
F1,0.00,0.00,0.00,0.00
Å‘åâ‘Î‰Á‘¬“x
‰ðÍ¹°½,PSV40,,PSV81,
‘w,‰Á—Í•ûŒü,’¼Œð•ûŒü,‰Á—Í•ûŒü,’¼Œð•ûŒü
,mm/s~2,mm/s~2,mm/s~2,mm/s~2
F19,-5928.30,0.00,-13092.46,0.00
F18,5400.50,0.00,-12469.62,0.00
F17,4501.02,0.00,10545.76,0.00
